Price,Size,Bath,Bed,City_Gondomar,City_Guimarães,City_Other,City_Vila Nova de Gaia,City_   Cascais,City_   Lisboa,City_   Sintra,predicted_rent
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
350000,233,4,4,0,0,1,0,0,0,0,3632.4172419402967
98000,60,1,2,0,0,1,0,0,0,0,944.463830609468
199900,188,3,3,0,0,1,0,0,0,0,3081.179349324293
235000,200,2,3,0,0,1,0,0,0,0,3402.9701356019687
250000,120,2,5,1,0,0,0,0,0,0,1414.6248884958839
195000,134,2,3,0,0,1,0,0,0,0,2077.920501740403
375000,208,4,6,0,0,1,0,0,0,0,2587.8397647767824
380000,207,3,4,1,0,0,0,0,0,0,3351.740921542777
338500,158,2,2,0,0,1,0,0,0,0,2831.0891007677355
125000,86,1,3,0,0,1,0,0,0,0,1195.1207117802908
590000,245,3,4,1,0,0,0,0,0,0,4114.648286493374
280000,108,2,3,0,0,1,0,0,0,0,1555.931252037362
280000,50,2,2,0,0,0,1,0,0,0,-280.2254904937662
148000,82,1,2,0,0,1,0,0,0,0,1386.1470418966567
57000,58,2,2,0,0,1,0,0,0,0,823.4381403714242
79000,91,2,2,0,0,1,0,0,0,0,1485.962957302207
79000,91,2,2,0,0,1,0,0,0,0,1485.962957302207
220000,114,2,2,0,0,1,0,0,0,0,1947.7226781933587
174500,98,1,1,0,0,1,0,0,0,0,1978.7035640922852
192000,106,2,3,0,0,1,0,0,0,0,1515.7782328294356
110000,50,1,1,0,0,1,0,0,0,0,1015.0311031020556
168500,123,2,3,0,0,1,0,0,0,0,1857.0788960968084
198000,89,1,2,0,0,0,1,0,0,0,583.6310550909128
