Price,Prop_type,Size,Bath,Bed,City,Division
3650000,2,121,2,3,   Oeiras, Algés
2950000,2,74,1,2,   Cascais, Carcavelos e Parede  
4250000,2,139,2,3,   Lisboa, Lumiar  
3150000,2,99,1,3,   Lisboa, Penha de França  
4700000,2,80,2,3,   Lisboa, Avenidas Novas  
2550000,2,98,2,3,   Mafra, Malveira e São Miguel de Alcainça  
2800000,2,65,2,2,   Lisboa, São Domingos de Benfica  
3420000,2,73,1,1,   Cascais, Alcabideche  
3000000,2,78,1,2,   Mafra, Ericeira  
4250000,2,146,2,3,   Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  
2700000,2,117,2,3,   Sintra, AlgueirãoMem Martins  
4190000,2,145,1,2,   Loures, Loures  
3500000,2,110,2,3,   Lisboa, Olivais  
2890000,2,125,2,4,   Amadora, Alfragide  
